to belong<br>Konjunktiv I Perfekt<br>Singular 3,er/sie/es habe gehört,Konjunktiv I Perfekt to belong
to belong<br>Konjunktiv I Perfekt<br>Plural 1,wir haben gehört,Konjunktiv I Perfekt to belong
to belong<br>Konjunktiv I Perfekt<br>Plural 2,ihr habet gehört,Konjunktiv I Perfekt to belong
to belong<br>Konjunktiv I Perfekt<br>Plural 3,Sie haben gehört,Konjunktiv I Perfekt to belong
to belong<br>Konjunktiv I Futur II<br>Singular 1,ich werde gehört haben,Konjunktiv I Futur II to belong
to belong<br>Konjunktiv I Futur II<br>Singular 2,du werdest gehört haben,Konjunktiv I Futur II to belong
to belong<br>Konjunktiv I Futur II<br>Singular 3,er/sie/es werde gehört haben,Konjunktiv I Futur II to belong
to belong<br>Konjunktiv I Futur II<br>Plural 1,wir werden gehört haben,Konjunktiv I Futur II to belong
to belong<br>Konjunktiv I Futur II<br>Plural 2,ihr werdet gehört haben,Konjunktiv I Futur II to belong
to belong<br>Konjunktiv I Futur II<br>Plural 3,Sie werden gehört haben,Konjunktiv I Futur II to belong
to belong<br>Konjunktiv II Präteritum<br>Singular 1,ich gehörte,Konjunktiv II Präteritum to belong
to belong<br>Konjunktiv II Präteritum<br>Singular 2,du gehörtest,Konjunktiv II Präteritum to belong
to belong<br>Konjunktiv II Präteritum<br>Singular 3,er/sie/es gehörte,Konjunktiv II Präteritum to belong
to belong<br>Konjunktiv II Präteritum<br>Plural 1,wir gehörten,Konjunktiv II Präteritum to belong
to belong<br>Konjunktiv II Präteritum<br>Plural 2,ihr gehörtet,Konjunktiv II Präteritum to belong
to belong<br>Konjunktiv II Präteritum<br>Plural 3,Sie gehörten,Konjunktiv II Präteritum to belong
to belong<br>Konjunktiv II Futur I<br>Singular 1,ich würde gehören,Konjunktiv II Futur I to belong
to belong<br>Konjunktiv II Futur I<br>Singular 2,du würdest gehören,Konjunktiv II Futur I to belong
to belong<br>Konjunktiv II Futur I<br>Singular 3,er/sie/es würde gehören,Konjunktiv II Futur I to belong
to belong<br>Konjunktiv II Futur I<br>Plural 1,wir würden gehören,Konjunktiv II Futur I to belong
to belong<br>Konjunktiv II Futur I<br>Plural 2,ihr würdet gehören,Konjunktiv II Futur I to belong
to belong<br>Konjunktiv II Futur I<br>Plural 3,Sie würden gehören,Konjunktiv II Futur I to belong
to belong<br>Konjunktiv II Plusquamperfekt<br>Singular 1,ich hätte gehört,Konjunktiv II Plusquamperfekt to belong
to belong<br>Konjunktiv II Plusquamperfekt<br>Singular 2,du hättest gehört,Konjunktiv II Plusquamperfekt to belong
to belong<br>Konjunktiv II Plusquamperfekt<br>Singular 3,er/sie/es hätte gehört,Konjunktiv II Plusquamperfekt to belong
to belong<br>Konjunktiv II Plusquamperfekt<br>Plural 1,wir hätten gehört,Konjunktiv II Plusquamperfekt to belong
to belong<br>Konjunktiv II Plusquamperfekt<br>Plural 2,ihr hättet gehört,Konjunktiv II Plusquamperfekt to belong
to belong<br>Konjunktiv II Plusquamperfekt<br>Plural 3,Sie hätten gehört,Konjunktiv II Plusquamperfekt to belong
to belong<br>Konjunktiv II Futur II<br>Singular 1,ich würde gehört haben,Konjunktiv II Futur II to belong
